,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_lag,params_q_sdot,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
52,52,9.450000000000001,2025-02-10 15:18:31.396889,2025-02-10 15:18:34.433076,0 days 00:00:03.036187,0.014503079752996285,1.5753275305413181,0.001896486555004328,0.039116779089410726,0.5860349436842288,15.077792680456922,COMPLETE
53,53,9.35,2025-02-10 15:18:34.457355,2025-02-10 15:18:37.111432,0 days 00:00:02.654077,0.006188788168037925,3.0947541149461064,0.004345747848415603,0.016553814744649148,0.45460903928226,9.26679159538378,COMPLETE
54,54,9.450000000000001,2025-02-10 15:18:37.138150,2025-02-10 15:18:40.186942,0 days 00:00:03.048792,0.006153049461319205,2.925455253610099,0.004649877443916625,0.015749661791315116,0.41007057230936034,8.869131336639148,COMPLETE
55,55,9.600000000000001,2025-02-10 15:18:40.212171,2025-02-10 15:18:42.550886,0 days 00:00:02.338715,0.004934450776528194,6.212469654364408,0.0023092581059817405,0.012754209625389692,0.952362974966933,6.98667621004846,COMPLETE
56,56,10.15,2025-02-10 15:18:42.575214,2025-02-10 15:18:44.281457,0 days 00:00:01.706243,0.0030771787451393,8.311496022650585,0.004088136142823188,0.020230315215323546,0.23799615505623264,4.444404467489568,COMPLETE
57,57,9.35,2025-02-10 15:18:44.307978,2025-02-10 15:18:46.998309,0 days 00:00:02.690331,0.006165076913986198,3.0875898862358335,0.0034391067978868997,0.008276175087653024,0.18044073698011034,13.934153336332432,COMPLETE
58,58,9.600000000000001,2025-02-10 15:18:47.026336,2025-02-10 15:18:49.242133,0 days 00:00:02.215797,0.010791039645662978,14.513248843696777,0.0068085897629801915,0.010966175087802678,0.3188690248410813,9.41061765417208,COMPLETE
59,59,9.5,2025-02-10 15:18:49.267461,2025-02-10 15:18:52.165430,0 days 00:00:02.897969,0.008135526788608696,0.8803684807443312,0.004252454778008259,0.06123602734650299,0.4806802913735889,7.0294851188751055,COMPLETE
60,60,9.950000000000001,2025-02-10 15:18:52.189346,2025-02-10 15:18:54.762206,0 days 00:00:02.572860,0.013943919387045464,5.001543967099778,0.0025480848507987404,0.023306216987914248,0.1543561384950761,15.016655639271413,COMPLETE
61,61,9.65,2025-02-10 15:18:54.784256,2025-02-10 15:18:57.268602,0 days 00:00:02.484346,0.006844325385550749,3.0316030466618593,0.002901890845611333,0.00890191833362213,0.1917970813177643,12.566991395404635,COMPLETE
62,62,9.5,2025-02-10 15:18:57.293562,2025-02-10 15:19:00.368945,0 days 00:00:03.075383,0.005718469515857125,1.5880107594695896,0.0034323966084896292,0.016600492977548367,0.11472112543911774,15.490461390158451,COMPLETE
63,63,9.5,2025-02-10 15:19:00.391140,2025-02-10 15:19:03.079312,0 days 00:00:02.688172,0.004176793841516785,3.7917321956815075,0.003667598720509948,0.013218724526993188,0.3317070465133646,9.801118278907937,COMPLETE
64,64,9.450000000000001,2025-02-10 15:19:03.106411,2025-02-10 15:19:06.143731,0 days 00:00:03.037320,0.009694824194115423,2.471187035235597,0.0017371645512835377,0.02746885845923281,0.6741492581810898,15.716463306501373,COMPLETE
65,65,9.35,2025-02-10 15:19:06.169493,2025-02-10 15:19:08.882869,0 days 00:00:02.713376,0.007922525023509132,7.098714567609655,0.0022145222891803333,0.0357303014240494,0.41564497660206196,19.342520543293613,COMPLETE
66,66,9.450000000000001,2025-02-10 15:19:08.898974,2025-02-10 15:19:11.973791,0 days 00:00:03.074817,0.012386210441100777,1.6663303102870397,0.00339757113685578,0.007187246597691588,0.23135979839123322,11.417475060056033,COMPLETE
67,67,9.55,2025-02-10 15:19:11.997718,2025-02-10 15:19:13.749884,0 days 00:00:01.752166,0.0060190120147394655,10.599733961708125,0.0014765357705503496,0.019233625684875067,0.5673845575116326,5.316797965998816,COMPLETE
68,68,9.35,2025-02-10 15:19:13.767827,2025-02-10 15:19:16.300084,0 days 00:00:02.532257,0.02228622111160597,3.291564853755555,0.0024791311412167318,0.011045166696942487,0.28642117026548947,8.291366731717083,COMPLETE
69,69,9.4,2025-02-10 15:19:16.322279,2025-02-10 15:19:19.050195,0 days 00:00:02.727916,0.004675831569247553,5.246850921471386,0.006187423837489003,0.04642355756137623,0.14345686062299423,12.336852354606181,COMPLETE
70,70,10.05,2025-02-10 15:19:19.076256,2025-02-10 15:19:22.386197,0 days 00:00:03.309941,0.01578694036356307,0.7591936794922876,0.0046456738234155965,0.02575878065156253,0.17880170225591727,16.515546490411182,COMPLETE
71,71,9.450000000000001,2025-02-10 15:19:22.412994,2025-02-10 15:19:25.309046,0 days 00:00:02.896052,0.00811610798438334,8.472715042281301,0.002172745311283713,0.033150139382174405,0.41200038361041946,17.997337013785206,COMPLETE
72,72,9.35,2025-02-10 15:19:25.330137,2025-02-10 15:19:28.050024,0 days 00:00:02.719887,0.010340350163495812,6.333634031125368,0.001930565500529886,0.01759975527348861,0.3362543491201082,10.394551018554338,COMPLETE
73,73,9.450000000000001,2025-02-10 15:19:28.073591,2025-02-10 15:19:30.983571,0 days 00:00:02.909980,0.008675978314948042,2.1681256518040586,0.003283804373507781,0.012952843493437245,0.2644718884194686,19.890989576584584,COMPLETE
74,74,9.450000000000001,2025-02-10 15:19:31.009381,2025-02-10 15:19:33.327337,0 days 00:00:02.317956,0.006964158757595804,12.814815460674613,0.002362946461020535,0.03592148327461285,0.4481394393811233,13.623592651834695,COMPLETE
75,75,10.100000000000001,2025-02-10 15:19:33.353070,2025-02-10 15:19:35.020166,0 days 00:00:01.667096,0.0037316028934515372,17.743933147998725,0.00286000140489252,0.019278747166816244,0.5627145990167508,6.800412529272597,COMPLETE
76,76,9.5,2025-02-10 15:19:35.041982,2025-02-10 15:19:37.170527,0 days 00:00:02.128545,0.005453329154382096,7.698160621785009,0.0017584196361520473,0.029073943449482106,0.37243499418689546,8.322218958861285,COMPLETE
77,77,9.35,2025-02-10 15:19:37.196445,2025-02-10 15:19:39.744462,0 days 00:00:02.548017,0.012585688150554953,3.759479947877747,0.0014006579449027958,0.010324961929971283,0.8202590127402599,11.292554710254493,COMPLETE
78,78,9.3,2025-02-10 15:19:39.767139,2025-02-10 15:19:42.349845,0 days 00:00:02.582706,0.01748426979590791,5.334949343100145,0.0021609837021695217,0.01646530992548234,0.04534451578754636,16.65783314423114,COMPLETE
79,79,9.55,2025-02-10 15:19:42.373479,2025-02-10 15:19:45.330615,0 days 00:00:02.957136,0.016891519522579883,2.6815111142230235,0.0038634212252446985,0.007809916687818188,0.0360746883888938,16.082075413498288,COMPLETE
80,80,9.5,2025-02-10 15:19:45.353744,2025-02-10 15:19:48.301779,0 days 00:00:02.948035,0.025853148030349764,4.98545344528562,0.001591968798683774,0.00608720148895995,0.05354734246574847,13.337122978406326,COMPLETE
81,81,9.35,2025-02-10 15:19:48.331406,2025-02-10 15:19:51.024250,0 days 00:00:02.692844,0.008926129409736654,6.562520943744097,0.00207567269423394,0.015218825237596814,0.08808824922310142,17.622437232777486,COMPLETE
82,82,9.450000000000001,2025-02-10 15:19:51.039443,2025-02-10 15:19:52.880669,0 days 00:00:01.841226,0.010995312439594652,11.118822047591932,0.0025936995847328456,0.022516353378866958,0.02941550790630077,10.198475401175099,COMPLETE
83,83,9.5,2025-02-10 15:19:52.908086,2025-02-10 15:19:55.269806,0 days 00:00:02.361720,0.007207208861678275,8.920749406214474,0.0021251048415435996,0.01720874833436636,0.07149224228268211,13.132792406649584,COMPLETE
84,84,10.05,2025-02-10 15:19:55.296364,2025-02-10 15:19:58.328217,0 days 00:00:03.031853,0.01432312871838465,4.2960468727258405,0.0030849576520779166,0.024650946685534133,0.047667912232491026,19.7469139209563,COMPLETE
85,85,9.450000000000001,2025-02-10 15:19:58.354133,2025-02-10 15:20:00.811912,0 days 00:00:02.457779,0.009992569766961083,2.7713427523238474,0.0018134728528427727,0.013573522098176504,0.06096557362962554,16.15041390338563,COMPLETE
86,86,10.3,2025-02-10 15:20:00.828388,2025-02-10 15:20:02.676238,0 days 00:00:01.847850,0.019934951001724623,5.344926033357364,0.0028036827738384114,0.03259179199181754,0.022008831949380307,8.424080014030773,COMPLETE
87,87,10.350000000000001,2025-02-10 15:20:02.702441,2025-02-10 15:20:05.080649,0 days 00:00:02.378208,0.006244423343044852,1.9197876222287327,0.002272989387335137,0.0119731923172637,0.7128308043321753,11.367298957393503,COMPLETE
88,88,10.050134953590355,2025-02-10 15:20:05.118818,2025-02-10 15:20:08.001819,0 days 00:00:02.883001,0.007911450128742002,1.161272873305874,0.0015725368702621152,0.041800219340383506,0.4623626101545825,6.281460674733985,COMPLETE
89,89,9.4,2025-02-10 15:20:08.026684,2025-02-10 15:20:10.674016,0 days 00:00:02.647332,0.01204679534061727,3.8842681789213764,0.0012000213500701212,0.009571932647680123,0.5324916167803315,13.621665306674046,COMPLETE
90,90,9.35,2025-02-10 15:20:10.701578,2025-02-10 15:20:12.664720,0 days 00:00:01.963142,0.016464897338033056,13.635254653970257,0.003648715598592739,0.01978348422183964,0.9832349699798631,16.74478844694228,COMPLETE
91,91,9.450000000000001,2025-02-10 15:20:12.686347,2025-02-10 15:20:15.159100,0 days 00:00:02.472753,0.018389738049512595,3.2455036954087455,0.002513753761886933,0.010564821849423115,0.28481729618628315,7.853192829358183,COMPLETE
92,92,9.3,2025-02-10 15:20:15.175324,2025-02-10 15:20:17.400071,0 days 00:00:02.224747,0.023891631292392728,6.955321785373936,0.0020021513164177464,0.007996029527135759,0.23548533803028027,10.070590728752656,COMPLETE
93,93,9.4,2025-02-10 15:20:17.424801,2025-02-10 15:20:19.440452,0 days 00:00:02.015651,0.005116348451785885,8.949547263460465,0.0020059225636945865,0.007980825998953538,0.3734234590775236,9.78305319454133,COMPLETE
94,94,9.3,2025-02-10 15:20:19.463259,2025-02-10 15:20:21.954031,0 days 00:00:02.490772,0.0093405254594812,7.2827212850536736,0.0017538630786634404,0.01451256347641598,0.23933206495175494,11.920165048027414,COMPLETE
95,95,9.5,2025-02-10 15:20:21.981755,2025-02-10 15:20:24.025684,0 days 00:00:02.043929,0.013350674982032601,5.378708765470414,0.0017267219530929141,0.01404660063298549,0.17924607723838976,5.131283911648506,COMPLETE
96,96,9.65,2025-02-10 15:20:24.047017,2025-02-10 15:20:25.791773,0 days 00:00:01.744756,0.024753831307096526,19.639867282474636,0.00195634639760081,0.01617956383848413,0.3225944469011864,11.64288976030725,COMPLETE
97,97,10.15,2025-02-10 15:20:25.816163,2025-02-10 15:20:28.013804,0 days 00:00:02.197641,0.011504708776347503,10.99007857920399,0.0032270574839592565,0.005056134825109459,0.22050423185305734,7.223655496036412,COMPLETE
98,98,9.450000000000001,2025-02-10 15:20:28.042458,2025-02-10 15:20:30.126906,0 days 00:00:02.084448,0.03438004137141812,6.947815021673877,0.0026336864993185983,0.008510438301093751,0.2389789807435691,9.103485086706266,COMPLETE
99,99,9.35,2025-02-10 15:20:30.152368,2025-02-10 15:20:32.914260,0 days 00:00:02.761892,0.020227481385499003,4.700805937578488,0.001478657467728087,0.01148334402815411,0.13805507639061873,14.293639017010937,COMPLETE
