,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
41,41,9.207258498173623,2025-02-06 12:05:25.991366,2025-02-06 12:05:30.925219,0 days 00:00:04.933853,0.01808315262491015,0.0017762553581142475,1.3852073193844625,10.418255303848731,COMPLETE
42,42,9.206639056899997,2025-02-06 12:05:30.925596,2025-02-06 12:05:36.458248,0 days 00:00:05.532652,0.01277085945772489,0.001985350607342511,1.6073370220537038,13.517705283715106,COMPLETE
43,43,9.20431513796093,2025-02-06 12:05:36.458659,2025-02-06 12:05:40.737281,0 days 00:00:04.278622,0.006640517091077909,0.0022082130288782783,1.055765046203611,7.236484518720478,COMPLETE
44,44,9.206310390801018,2025-02-06 12:05:40.737671,2025-02-06 12:05:44.859065,0 days 00:00:04.121394,0.017273879529680625,0.001470236805636426,2.9042435149918333,3.8446837127210434,COMPLETE
45,45,9.30517149172327,2025-02-06 12:05:44.859470,2025-02-06 12:05:48.589173,0 days 00:00:03.729703,0.009850891009749093,0.0030731564050237013,1.8772843056117512,2.1311945416833034,COMPLETE
46,46,9.20639123582375,2025-02-06 12:05:48.589650,2025-02-06 12:05:54.042890,0 days 00:00:05.453240,0.03277476179276886,0.005723680033678176,1.1967053004505852,14.333727354925498,COMPLETE
47,47,9.158014423265104,2025-02-06 12:05:54.043296,2025-02-06 12:05:59.544522,0 days 00:00:05.501226,0.021686928960185814,0.0013518913734667536,0.673673762343944,19.82273111198514,COMPLETE
48,48,9.151027064726659,2025-02-06 12:05:59.544878,2025-02-06 12:06:04.708931,0 days 00:00:05.164053,0.0237441452725329,0.0014045256127038646,0.45114689413419196,19.50033314278046,COMPLETE
49,49,9.105126027978603,2025-02-06 12:06:04.709318,2025-02-06 12:06:10.423330,0 days 00:00:05.714012,0.10421200329277647,0.001382787979380021,0.4062475589751883,19.70611907578255,COMPLETE
50,50,9.206782612113196,2025-02-06 12:06:10.423920,2025-02-06 12:06:16.102341,0 days 00:00:05.678421,0.07184198018146667,0.0012731866498037646,0.24449559779410537,18.305822740071715,COMPLETE
51,51,9.154778975665572,2025-02-06 12:06:16.102715,2025-02-06 12:06:21.491349,0 days 00:00:05.388634,0.17012737543565423,0.001348148879874816,0.46334069204516876,19.941010077755653,COMPLETE
52,52,9.204919467653776,2025-02-06 12:06:21.491717,2025-02-06 12:06:26.403017,0 days 00:00:04.911300,0.09550358310230216,0.0013261711459212086,0.3225023529163529,15.077186965458964,COMPLETE
53,53,9.204259765066702,2025-02-06 12:06:26.403507,2025-02-06 12:06:31.311020,0 days 00:00:04.907513,0.1100271212228409,0.001394546337667267,0.6821644470656932,9.24700090677722,COMPLETE
54,54,9.150316365524944,2025-02-06 12:06:31.311434,2025-02-06 12:06:36.173922,0 days 00:00:04.862488,0.13111553591603567,0.0010041119084224423,0.4739251645551302,19.774205965731845,COMPLETE
55,55,9.204628912121787,2025-02-06 12:06:36.174274,2025-02-06 12:06:41.393114,0 days 00:00:05.218840,0.1499107516532784,0.0010288572702593425,0.4532814168313609,14.369275462835379,COMPLETE
56,56,9.254146179689531,2025-02-06 12:06:41.393472,2025-02-06 12:06:45.739779,0 days 00:00:04.346307,0.2581474976622283,0.0024389106984684184,0.44458034455959583,7.152799608408968,COMPLETE
57,57,9.205905531087145,2025-02-06 12:06:45.740153,2025-02-06 12:06:51.148042,0 days 00:00:05.407889,0.17379009390656833,0.0034486971141147247,0.2522521081751163,14.986196883983306,COMPLETE
58,58,9.20298251742571,2025-02-06 12:06:51.148543,2025-02-06 12:06:55.820160,0 days 00:00:04.671617,0.0503070204590122,0.00101541019211544,0.17578329088277533,8.83164801674865,COMPLETE
59,59,9.256133905577158,2025-02-06 12:06:55.820513,2025-02-06 12:07:00.117189,0 days 00:00:04.296676,0.07685647022962361,0.0015159634460294375,0.46653103251686745,4.625076942564946,COMPLETE
60,60,9.205991000041514,2025-02-06 12:07:00.117547,2025-02-06 12:07:05.366125,0 days 00:00:05.248578,0.32040125015312043,0.0023917043143659223,0.8915464293469165,19.98473375565623,COMPLETE
61,61,9.152196802804545,2025-02-06 12:07:05.366561,2025-02-06 12:07:10.231550,0 days 00:00:04.864989,0.024618579003433987,0.0013013902215770897,0.5839323273598567,19.271940076628358,COMPLETE
62,62,9.200119575509895,2025-02-06 12:07:10.232001,2025-02-06 12:07:15.170727,0 days 00:00:04.938726,0.028320589724243384,0.0012445026298782086,0.5461169462757312,15.755722212161446,COMPLETE
63,63,9.205077269650072,2025-02-06 12:07:15.171287,2025-02-06 12:07:20.718144,0 days 00:00:05.546857,0.036255079670580795,0.0016643013580870472,0.3582357712222069,13.85330022852859,COMPLETE
64,64,9.200157992484218,2025-02-06 12:07:20.718508,2025-02-06 12:07:25.065531,0 days 00:00:04.347023,0.05702581538223493,0.0022562191111452617,0.533698311254179,9.15129942564557,COMPLETE
65,65,9.20731757095517,2025-02-06 12:07:25.066018,2025-02-06 12:07:30.828726,0 days 00:00:05.762708,0.028719034368172042,0.0016204213383297897,0.7471331415390527,19.464775630367946,COMPLETE
66,66,9.203701480107052,2025-02-06 12:07:30.829189,2025-02-06 12:07:35.779871,0 days 00:00:04.950682,0.11778328027220568,0.0012303396056349046,0.4043125323281305,11.544017367829005,COMPLETE
67,67,9.200103032487425,2025-02-06 12:07:35.780364,2025-02-06 12:07:39.726387,0 days 00:00:03.946023,0.045397215253289935,0.0028744978322504475,0.952511753284717,6.860475960191152,COMPLETE
68,68,9.2043460757935,2025-02-06 12:07:39.726744,2025-02-06 12:07:45.153613,0 days 00:00:05.426869,0.07069971742722753,0.004294102561839133,0.30267152683498183,16.202214253218603,COMPLETE
69,69,9.204923611589086,2025-02-06 12:07:45.153966,2025-02-06 12:07:50.122188,0 days 00:00:04.968222,0.015201965857825439,0.0018026574219663911,0.589851571282113,9.367256225232387,COMPLETE
70,70,9.203716917494239,2025-02-06 12:07:50.122563,2025-02-06 12:07:54.558375,0 days 00:00:04.435812,0.046956198608164294,0.0022637909965268137,0.18017137626136687,5.511308940525291,COMPLETE
71,71,9.20515143666811,2025-02-06 12:07:54.558749,2025-02-06 12:07:59.767553,0 days 00:00:05.208804,0.019107785758892736,0.0013187077925207534,0.7052694499239637,15.865026342781073,COMPLETE
72,72,9.200872502991961,2025-02-06 12:07:59.767911,2025-02-06 12:08:05.009242,0 days 00:00:05.241331,0.022518897283571856,0.0011647252714703227,0.6477701766125519,19.952694375740627,COMPLETE
73,73,9.205966569012475,2025-02-06 12:08:05.009662,2025-02-06 12:08:10.352557,0 days 00:00:05.342895,0.03217420704192529,0.0016260063673133082,0.9208874976243406,12.378473084536417,COMPLETE
74,74,9.200056863380759,2025-02-06 12:08:10.352951,2025-02-06 12:08:15.222705,0 days 00:00:04.869754,0.02259549847229909,0.0011884266243921181,0.5172807393909444,19.81694260656592,COMPLETE
75,75,9.204158027690717,2025-02-06 12:08:15.223070,2025-02-06 12:08:20.495176,0 days 00:00:05.272106,0.025086791208656867,0.00198473628558991,1.1470542204346035,12.499984379476007,COMPLETE
76,76,9.204019327633839,2025-02-06 12:08:20.495579,2025-02-06 12:08:25.381708,0 days 00:00:04.886129,0.008148713873276828,0.0014531307924831956,0.772718767534609,10.223515677285024,COMPLETE
77,77,9.203980613694437,2025-02-06 12:08:25.382157,2025-02-06 12:08:31.043435,0 days 00:00:05.661278,0.014531470012578904,0.0010021542684711651,0.3893154795025841,15.249465150253162,COMPLETE
78,78,9.200083084010185,2025-02-06 12:08:31.044023,2025-02-06 12:08:35.282524,0 days 00:00:04.238501,0.03819320486018718,0.0025889294482242292,0.629932626859002,8.031585251883477,COMPLETE
79,79,9.204886800593545,2025-02-06 12:08:35.282955,2025-02-06 12:08:40.458110,0 days 00:00:05.175155,0.0206781606025271,0.0017918475105376571,0.45512616560872743,11.842251251941873,COMPLETE
80,80,9.205865109367082,2025-02-06 12:08:40.458473,2025-02-06 12:08:46.064446,0 days 00:00:05.605973,0.011455068641392573,0.0032511645254101186,1.2394356897323608,16.5833765366247,COMPLETE
81,81,9.204982470146081,2025-02-06 12:08:46.064840,2025-02-06 12:08:51.460295,0 days 00:00:05.395455,0.005155679779822864,0.0014570772184461342,1.038747082951879,16.134770158880425,COMPLETE
82,82,9.203946832181305,2025-02-06 12:08:51.460726,2025-02-06 12:08:56.152400,0 days 00:00:04.691674,0.014851122332054255,0.002160903723959965,0.8585730396078448,10.300522854393481,COMPLETE
83,83,9.200799689152223,2025-02-06 12:08:56.152782,2025-02-06 12:09:00.900586,0 days 00:00:04.747804,0.008072907304552852,0.0027017097004314503,1.63222590508222,12.344134716975487,COMPLETE
84,84,9.150255355356466,2025-02-06 12:09:00.901024,2025-02-06 12:09:05.772122,0 days 00:00:04.871098,0.03096852570940468,0.0018080886468810837,0.7087257082856664,17.07587546755567,COMPLETE
85,85,9.154505569849059,2025-02-06 12:09:05.772525,2025-02-06 12:09:11.331824,0 days 00:00:05.559299,0.026690222394231987,0.0011253386480855193,0.7494671328860318,19.63654094540782,COMPLETE
86,86,9.200909114307152,2025-02-06 12:09:11.332316,2025-02-06 12:09:16.570495,0 days 00:00:05.238179,0.032898628151639686,0.001168797718985748,0.4992830459890687,14.260718737313983,COMPLETE
87,87,9.154039537446415,2025-02-06 12:09:16.570880,2025-02-06 12:09:21.970189,0 days 00:00:05.399309,0.027059397637296347,0.001743869270588234,0.30683382037312806,16.414414314270502,COMPLETE
88,88,9.200781053841528,2025-02-06 12:09:21.970871,2025-02-06 12:09:27.138499,0 days 00:00:05.167628,0.026892823796225877,0.0017208359245398078,0.3005514781329093,16.846386330187283,COMPLETE
89,89,9.200964256732249,2025-02-06 12:09:27.139046,2025-02-06 12:09:31.562468,0 days 00:00:04.423422,0.044060068517872426,0.002005013469925532,0.34050845634531063,7.980119468101638,COMPLETE
90,90,9.206092341205037,2025-02-06 12:09:31.562899,2025-02-06 12:09:36.987673,0 days 00:00:05.424774,0.0628890034833812,0.0011297829574549363,0.3906369127313055,10.199982567651858,COMPLETE
91,91,9.150260868418437,2025-02-06 12:09:36.988065,2025-02-06 12:09:42.057585,0 days 00:00:05.069520,0.017755548466872956,0.0015218650893792202,0.5510927991065624,17.07374100795753,COMPLETE
92,92,9.202129826479402,2025-02-06 12:09:42.057978,2025-02-06 12:09:47.044796,0 days 00:00:04.986818,0.026399720202562017,0.0014891716186011005,0.5344880510818579,13.196565466766456,COMPLETE
93,93,9.206950052753518,2025-02-06 12:09:47.045187,2025-02-06 12:09:52.827128,0 days 00:00:05.781941,0.01683620304550594,0.0018449938801088407,0.5954476535848736,16.848738569046088,COMPLETE
94,94,9.202753391628331,2025-02-06 12:09:52.827545,2025-02-06 12:09:58.329346,0 days 00:00:05.501801,0.03403674755785143,0.0013842541799376675,0.8743664710150709,17.00313368561374,COMPLETE
95,95,9.20428218506103,2025-02-06 12:09:58.329715,2025-02-06 12:10:03.916256,0 days 00:00:05.586541,0.017984617725166293,0.0011212533114750471,0.7144411738663577,13.66542384986706,COMPLETE
96,96,9.20073899375104,2025-02-06 12:10:03.916657,2025-02-06 12:10:08.286101,0 days 00:00:04.369444,0.040019918376187,0.002190763313342626,0.45091066984538725,10.816373870263062,COMPLETE
97,97,9.206477917225744,2025-02-06 12:10:08.286474,2025-02-06 12:10:14.029925,0 days 00:00:05.743451,0.05252588559435815,0.0016412745237675305,0.8043279150871169,17.54777102960864,COMPLETE
98,98,9.200516092210892,2025-02-06 12:10:14.030307,2025-02-06 12:10:18.299861,0 days 00:00:04.269554,0.030178152594254735,0.0010011510913597965,1.3587896253383502,9.363249427641135,COMPLETE
99,99,9.204060049661603,2025-02-06 12:10:18.300232,2025-02-06 12:10:22.739995,0 days 00:00:04.439763,0.023596761215018684,0.0013090621916725062,0.27653021310252773,6.736638303617693,COMPLETE
100,100,9.206622394317625,2025-02-06 12:10:22.740371,2025-02-06 12:10:28.376371,0 days 00:00:05.636000,0.020502871644744562,0.0022972364579034467,0.3376091382423205,13.21521010528583,COMPLETE
101,101,9.15628226461253,2025-02-06 12:10:28.376754,2025-02-06 12:10:34.174937,0 days 00:00:05.798183,0.012301811352959,0.0015636940352451575,0.41837929776809535,19.64266025840326,COMPLETE
102,102,9.205772106593274,2025-02-06 12:10:34.175366,2025-02-06 12:10:39.754387,0 days 00:00:05.579021,0.015843832666170347,0.0027709622039871094,0.603889774467267,15.197036450556794,COMPLETE
103,103,9.154914565038279,2025-02-06 12:10:39.754775,2025-02-06 12:10:45.525814,0 days 00:00:05.771039,0.01920270194709113,0.0013250580112638567,0.5108076946311526,17.353549561212706,COMPLETE
104,104,9.154437500622501,2025-02-06 12:10:45.526190,2025-02-06 12:10:50.833878,0 days 00:00:05.307688,0.02482688707089924,0.001279244009884663,0.46664649555099447,17.174823368531783,COMPLETE
105,105,9.20266337368835,2025-02-06 12:10:50.834416,2025-02-06 12:10:55.819109,0 days 00:00:04.984693,0.02893947806473456,0.0011289184581671147,0.36719506339582675,12.186097696691684,COMPLETE
106,106,9.204461556926676,2025-02-06 12:10:55.819618,2025-02-06 12:11:01.317335,0 days 00:00:05.497717,0.024632378805783013,0.0017559442475285408,1.0279912069049568,14.35074524411664,COMPLETE
107,107,9.160786698843287,2025-02-06 12:11:01.317873,2025-02-06 12:11:07.157255,0 days 00:00:05.839382,0.036876205678945874,0.002004701872885547,0.47266294765637956,19.836302325716133,COMPLETE
108,108,9.20780781057095,2025-02-06 12:11:07.157764,2025-02-06 12:11:12.894663,0 days 00:00:05.736899,0.01323396148231913,0.0012551622764293718,0.7131275905058416,11.419479299099468,COMPLETE
109,109,9.158392693330004,2025-02-06 12:11:12.895068,2025-02-06 12:11:18.808057,0 days 00:00:05.912989,0.0319484307619369,0.0015459869680648265,0.5841800840496796,16.776221263791754,COMPLETE
110,110,9.207836176717151,2025-02-06 12:11:18.808718,2025-02-06 12:11:23.955956,0 days 00:00:05.147238,0.042060341289101195,0.002422487255903406,0.42162563062410785,9.625055117652852,COMPLETE
111,111,9.15881347437382,2025-02-06 12:11:23.956393,2025-02-06 12:11:29.637669,0 days 00:00:05.681276,0.019384082853589148,0.0013650315159929687,0.48405881446047333,16.679977176143332,COMPLETE
112,112,9.208058519808382,2025-02-06 12:11:29.638220,2025-02-06 12:11:35.423074,0 days 00:00:05.784854,0.022323985837367687,0.0011638970964603877,0.5312308250091401,13.717805069034453,COMPLETE
113,113,9.1558481273381,2025-02-06 12:11:35.423594,2025-02-06 12:11:41.050774,0 days 00:00:05.627180,0.019099476431844512,0.0013698436555494022,0.2820494488462083,18.20732049668141,COMPLETE
114,114,9.159672434908785,2025-02-06 12:11:41.051287,2025-02-06 12:11:46.740629,0 days 00:00:05.689342,0.02621357596235633,0.0017166528738208227,0.3432928468340781,19.99178293760427,COMPLETE
115,115,9.200526792966487,2025-02-06 12:11:46.741107,2025-02-06 12:11:52.211529,0 days 00:00:05.470422,0.01410233412961204,0.0010873489618689039,0.6852874631206458,14.679936739470058,COMPLETE
116,116,9.206460409535747,2025-02-06 12:11:52.211938,2025-02-06 12:11:57.148604,0 days 00:00:04.936666,0.017191107407301297,0.0012758340737195248,0.8067834969510718,8.34379412842999,COMPLETE
117,117,9.219518464389733,2025-02-06 12:11:57.149015,2025-02-06 12:12:03.398386,0 days 00:00:06.249371,0.020911231648062925,0.0020173464899348554,0.38732473395238687,12.284542649508234,COMPLETE
118,118,9.207350794428738,2025-02-06 12:12:03.398849,2025-02-06 12:12:08.794043,0 days 00:00:05.395194,0.03571622961908926,0.0015208211867480848,0.541558804703012,16.44916946396071,COMPLETE
119,119,9.208230918039325,2025-02-06 12:12:08.794450,2025-02-06 12:12:14.084559,0 days 00:00:05.290109,0.0284715288815802,0.003179273751659786,0.639932688532372,10.757960481773727,COMPLETE
120,120,9.20236917977715,2025-02-06 12:12:14.085401,2025-02-06 12:12:19.705212,0 days 00:00:05.619811,0.01618468636365937,0.0019116570545411609,0.20560385281413063,14.586750147959384,COMPLETE
121,121,9.206017440401505,2025-02-06 12:12:19.705613,2025-02-06 12:12:25.602563,0 days 00:00:05.896950,0.01868100376301473,0.0010126578734567745,0.305630523897035,17.669965578872798,COMPLETE
122,122,9.150724045822388,2025-02-06 12:12:25.603049,2025-02-06 12:12:30.873489,0 days 00:00:05.270440,0.024177695702553615,0.0013725349487191247,0.26602283336461735,17.739154742784162,COMPLETE
123,123,9.206852688391743,2025-02-06 12:12:30.873877,2025-02-06 12:12:36.540245,0 days 00:00:05.666368,0.02409888138170762,0.001308414699753264,0.24364983053752087,12.587213265650258,COMPLETE
124,124,9.15757522966716,2025-02-06 12:12:36.540658,2025-02-06 12:12:42.080959,0 days 00:00:05.540301,0.030407191376161557,0.0015369345871625824,0.3915442460710871,17.355736853582112,COMPLETE
125,125,9.157477975131044,2025-02-06 12:12:42.081395,2025-02-06 12:12:47.691396,0 days 00:00:05.610001,0.023884789074111703,0.0017464910178181879,0.49955264904782826,19.917471019261374,COMPLETE
126,126,9.15639169925912,2025-02-06 12:12:47.691800,2025-02-06 12:12:53.061814,0 days 00:00:05.370014,0.16253347675624033,0.0010016865714687635,0.4432886593351214,15.201926816272087,COMPLETE
127,127,9.20093561305999,2025-02-06 12:12:53.062262,2025-02-06 12:12:57.695956,0 days 00:00:04.633694,0.08562368872793923,0.0012269269590325042,0.3155931578173351,10.459019899868503,COMPLETE
128,128,9.208382724882886,2025-02-06 12:12:57.696328,2025-02-06 12:13:03.688051,0 days 00:00:05.991723,0.010822952174656624,0.002561448295251589,0.26517987189536424,13.143223058964246,COMPLETE
129,129,9.20153377214436,2025-02-06 12:13:03.688506,2025-02-06 12:13:08.290869,0 days 00:00:04.602363,0.047758670729091485,0.002136994711357908,0.2231524067676608,8.636726384801667,COMPLETE
130,130,9.207922803160368,2025-02-06 12:13:08.291561,2025-02-06 12:13:14.105855,0 days 00:00:05.814294,0.021032647196754305,0.001397138514269698,0.9991480692204416,15.752709415164325,COMPLETE
131,131,9.208778882849277,2025-02-06 12:13:14.106289,2025-02-06 12:13:20.151632,0 days 00:00:06.045343,0.01815430688895502,0.0014392524835855358,0.28834664589379905,17.64631636925169,COMPLETE
132,132,9.158064664875273,2025-02-06 12:13:20.152012,2025-02-06 12:13:25.873049,0 days 00:00:05.721037,0.01501140780934695,0.0011713971209123954,0.5656856085044754,17.4003430814448,COMPLETE
133,133,9.258807858199757,2025-02-06 12:13:25.873445,2025-02-06 12:13:31.446400,0 days 00:00:05.572955,0.19467660363034867,0.0017220356935473869,0.35435395741128145,19.991093655824216,COMPLETE
134,134,9.204503428727469,2025-02-06 12:13:31.446864,2025-02-06 12:13:37.069295,0 days 00:00:05.622431,0.027888253526142662,0.0013672232842254029,0.26621320223841494,13.639364694095342,COMPLETE
135,135,9.209205031689311,2025-02-06 12:13:37.069883,2025-02-06 12:13:42.854479,0 days 00:00:05.784596,0.019869063078869025,0.0011906759158157765,0.7471337277439352,11.897332883258711,COMPLETE
136,136,9.205107961327013,2025-02-06 12:13:42.854883,2025-02-06 12:13:48.426267,0 days 00:00:05.571384,0.12224967487092397,0.0016016721173591412,0.42971356490906853,15.849083898070667,COMPLETE
137,137,9.206387893846495,2025-02-06 12:13:48.426865,2025-02-06 12:13:54.099592,0 days 00:00:05.672727,0.012938867158033872,0.0018986875237221232,0.6178290525564781,17.244460003129294,COMPLETE
138,138,9.206658812757317,2025-02-06 12:13:54.100044,2025-02-06 12:13:59.616752,0 days 00:00:05.516708,0.03242476202104146,0.0013328386109059012,0.32469211801526676,11.170062930388337,COMPLETE
