,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
11,11,24.854288339614868,2025-02-19 19:40:40.727646,2025-02-19 19:41:06.661175,0 days 00:00:25.933529,0.06511897803416729,0.0017231241881229128,4.272270252145793,0.01572694750180495,COMPLETE
12,12,21.490474462509155,2025-02-19 19:41:06.675547,2025-02-19 19:41:29.207652,0 days 00:00:22.532105,0.26306106951199065,0.002090899440253883,0.018121604177000067,16.799033584058638,COMPLETE
13,13,21.506115913391113,2025-02-19 19:41:29.230565,2025-02-19 19:41:51.758770,0 days 00:00:22.528205,0.2896015241659375,0.006710855492385681,0.01646371893652217,13.754599706009705,COMPLETE
14,14,21.18224549293518,2025-02-19 19:41:51.784605,2025-02-19 19:42:14.033867,0 days 00:00:22.249262,0.2706619864407266,0.009269575957269242,0.010991785805605055,18.069063030789096,COMPLETE
15,15,21.546096563339233,2025-02-19 19:42:14.057699,2025-02-19 19:42:36.671670,0 days 00:00:22.613971,0.2581404014070601,0.011622987258950309,0.010318390346356433,15.478789938810952,COMPLETE
16,16,21.486233949661255,2025-02-19 19:42:36.693431,2025-02-19 19:42:59.222307,0 days 00:00:22.528876,0.08105749128379322,0.015290929154490767,0.02995167701220537,19.99192502644048,COMPLETE
17,17,21.849082946777344,2025-02-19 19:42:59.243896,2025-02-19 19:43:22.167510,0 days 00:00:22.923614,0.0643871792350766,0.025092482664101644,0.03599917177751348,6.714185481915913,COMPLETE
18,18,21.519683837890625,2025-02-19 19:43:22.189904,2025-02-19 19:43:44.789937,0 days 00:00:22.600033,0.11449487785914123,0.028165878440109017,0.03993365305653377,19.84090825338633,COMPLETE
19,19,21.395542860031128,2025-02-19 19:43:44.814179,2025-02-19 19:44:07.330476,0 days 00:00:22.516297,0.42902552471652744,0.009912724534872205,0.01163137334101478,6.886409582066716,COMPLETE
20,20,21.344794750213623,2025-02-19 19:44:07.354295,2025-02-19 19:44:29.826270,0 days 00:00:22.471975,0.6616334935702883,0.005443232772691739,0.01085556009457374,7.340303994556761,COMPLETE
21,21,24.506067752838135,2025-02-19 19:44:29.847288,2025-02-19 19:44:55.432417,0 days 00:00:25.585129,0.9876701704927038,0.004518811285561556,0.010266161826338422,0.7240338641812565,COMPLETE
22,22,21.406771898269653,2025-02-19 19:44:55.453895,2025-02-19 19:45:17.891849,0 days 00:00:22.437954,0.49065318829533994,0.0067302727583067315,0.010676483395837415,7.8653754738593,COMPLETE
23,23,21.508493900299072,2025-02-19 19:45:17.912973,2025-02-19 19:45:40.495264,0 days 00:00:22.582291,0.4519947679549182,0.010927459868226361,0.019727630734782,8.146431893852455,COMPLETE
24,24,21.555766582489014,2025-02-19 19:45:40.517144,2025-02-19 19:46:03.192039,0 days 00:00:22.674895,0.1940731606683232,0.004851759145586962,0.05881903428855267,2.75285579016204,COMPLETE
25,25,21.36846685409546,2025-02-19 19:46:03.215740,2025-02-19 19:46:25.664366,0 days 00:00:22.448626,0.47873035859821633,0.001157391631130888,0.02234851851680903,7.2853895078892705,COMPLETE
