,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_lag,params_q_sdot,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,30.95123863220215,2025-02-20 12:23:29.350372,2025-02-20 12:24:10.796248,0 days 00:00:41.445876,0.005234871105092344,6.982043761031118,0.014159384336983133,0.011556068292745615,0.02233864073071707,0.261681897704173,COMPLETE
1,1,25.797710180282593,2025-02-20 12:24:10.822852,2025-02-20 12:24:37.548159,0 days 00:00:26.725307,0.0033560847613286317,17.546628579487844,0.0028388120105088924,0.0077193771874176096,7.969661033384973,0.16706366525828134,COMPLETE
2,2,29.09704828262329,2025-02-20 12:24:37.570100,2025-02-20 12:25:12.782453,0 days 00:00:35.212353,0.0774928353258621,18.505089702549302,0.02817950875366502,0.5378517163354791,0.059256211852819665,17.6642610540454,COMPLETE
3,3,30.396408319473267,2025-02-20 12:25:12.802237,2025-02-20 12:25:44.180186,0 days 00:00:31.377949,0.3912914017349382,41.31556701714877,0.013767651729225977,0.02616991594084693,0.1043358700951833,0.28205505102260403,COMPLETE
4,4,35.0,2025-02-20 12:25:44.201033,2025-02-20 12:25:46.482329,0 days 00:00:02.281296,0.05954215897491333,6.557799506716866,0.0037004304045033755,0.009720848252508548,0.2785633161163474,0.056349044374106295,COMPLETE
5,5,27.70039963722229,2025-02-20 12:25:46.505712,2025-02-20 12:26:15.440790,0 days 00:00:28.935078,0.517686996911751,44.2234707594522,0.01684823672027965,0.05105386342896787,9.359419762651715,14.337118111148618,COMPLETE
6,6,35.0,2025-02-20 12:26:15.463214,2025-02-20 12:26:24.040573,0 days 00:00:08.577359,0.07601812614696493,16.330661055437186,0.00572101186539366,0.0030846440324644054,4.074674204568116,0.01296522138086826,COMPLETE
7,7,35.0,2025-02-20 12:26:24.064101,2025-02-20 12:26:25.594770,0 days 00:00:01.530669,0.022937376071738583,13.396091277723425,0.001972384898850488,0.1416240612089968,1.2050355488002675,0.013252904069538874,COMPLETE
8,8,28.594837188720703,2025-02-20 12:26:25.620522,2025-02-20 12:26:55.443867,0 days 00:00:29.823345,0.2440629299532408,22.055466072257552,0.0012887577285651815,0.564976349902808,1.2886288008043867,0.22986698294967078,COMPLETE
9,9,35.0,2025-02-20 12:26:55.467454,2025-02-20 12:26:57.780709,0 days 00:00:02.313255,0.003029345540447242,11.760519001621994,0.0311743613797038,0.002245838927553353,1.0610345527667369,0.027535241350031506,COMPLETE
10,10,35.0,2025-02-20 12:26:57.806997,2025-02-20 12:26:59.488082,0 days 00:00:01.681085,0.002346328214584548,9.609958952344368,0.06443880988623266,0.0010024234690906811,7.258716305972589,1.7661014646594366,COMPLETE
11,11,35.0,2025-02-20 12:26:59.511803,2025-02-20 12:27:00.428704,0 days 00:00:00.916901,0.5921509204551053,45.53609968323619,0.005192086699520497,0.05158888198357729,9.294524092919197,1.7256706045253942,COMPLETE
12,12,26.647547006607056,2025-02-20 12:27:00.453726,2025-02-20 12:27:28.176724,0 days 00:00:27.722998,0.928550813750255,28.680447245310507,0.002835779835983758,0.060508687722883696,3.195830455115767,10.867667819097425,COMPLETE
13,13,28.84414291381836,2025-02-20 12:27:28.198538,2025-02-20 12:27:58.058866,0 days 00:00:29.860328,0.9775474061791253,26.2439223939917,0.0023944525540001544,0.13721314749332117,2.824000780319203,1.2077994191178059,COMPLETE
