,number,value,datetime_start,datetime_complete,duration,params_q_con,params_q_u_yaw_rate,params_qt_pos_high,params_qt_s_high,state
0,0,11.352966590627892,2025-02-10 18:01:47.330226,2025-02-10 18:01:52.099562,0 days 00:00:04.769336,0.11083236628457724,0.0318437640972442,0.05713463436108209,0.024212712158263386,COMPLETE
1,1,10.351929346730293,2025-02-10 18:01:52.128534,2025-02-10 18:01:56.283269,0 days 00:00:04.154735,0.01923226832046698,0.09239692884277624,1.6742683124898057,1.353718012058076,COMPLETE
2,2,10.855937000011517,2025-02-10 18:01:56.308740,2025-02-10 18:02:00.044784,0 days 00:00:03.736044,0.7732417014059879,0.002420477496480051,0.10574407783281542,0.030142068057044502,COMPLETE
3,3,10.802543472139153,2025-02-10 18:02:00.068308,2025-02-10 18:02:03.654972,0 days 00:00:03.586664,0.16577703326729842,0.004815629974321405,0.09585464838798118,0.02938452745114548,COMPLETE
4,4,11.50647644161634,2025-02-10 18:02:03.676001,2025-02-10 18:02:10.493923,0 days 00:00:06.817922,0.5433441813894674,0.4642075869929255,2.365944639120375,0.7996032655354987,COMPLETE
5,5,11.402584199923124,2025-02-10 18:02:10.515507,2025-02-10 18:02:14.250796,0 days 00:00:03.735289,0.03453042165631884,0.005916801717439283,0.2655570348179882,0.01761448649976619,COMPLETE
6,6,9.305323223374119,2025-02-10 18:02:14.272212,2025-02-10 18:02:18.594103,0 days 00:00:04.321891,0.9404847818903691,0.001867860901744187,0.93961211458214,13.229735134400554,COMPLETE
7,7,11.50205076502545,2025-02-10 18:02:18.619475,2025-02-10 18:02:22.412798,0 days 00:00:03.793323,0.007172408426120578,0.0034103451741004467,0.01248327125573804,0.015535550708645412,COMPLETE
8,8,10.403481392690482,2025-02-10 18:02:22.433624,2025-02-10 18:02:26.864201,0 days 00:00:04.430577,0.0013673996785820396,0.09079021013689964,1.2121193546066875,1.206598249061116,COMPLETE
9,9,9.205400520730306,2025-02-10 18:02:26.887926,2025-02-10 18:02:31.535245,0 days 00:00:04.647319,0.011735061383179932,0.00107962114762646,2.774726305947046,7.316500595639888,COMPLETE
10,10,9.206720508763397,2025-02-10 18:02:31.558781,2025-02-10 18:02:36.864363,0 days 00:00:05.305582,0.0035007717144330337,0.0010663085799886487,8.222980823326516,17.050356546802934,COMPLETE
11,11,9.157099963593467,2025-02-10 18:02:36.886298,2025-02-10 18:02:42.106550,0 days 00:00:05.220252,0.0031257382127590607,0.0010855103322436723,9.305868502258676,16.66653540839789,COMPLETE
12,12,9.206060101153053,2025-02-10 18:02:42.130378,2025-02-10 18:02:45.831593,0 days 00:00:03.701215,0.0010374430926000744,0.0010040718565466438,8.534456535707793,5.698612162026622,COMPLETE
